id,name,assault_pct,drug_narcotic_pct,robbery_pct,shoplifting_pct,theft_from_auto_pct,theft_of_property_pct,vandalism_pct,vehicle_theft_pct
94102,94102,11.7,25.8,13.5,15.9,6.9,10.8,7.4,5.2
94103,94103,15.9,23.8,16.6,27.2,16.1,20.2,14.0,8.9
94104,94104,0.5,0.1,0.9,1.0,0.2,1.1,0.5,0.2
94105,94105,2.0,0.7,1.7,1.9,1.6,5.6,2.1,1.4
94107,94107,3.7,2.6,3.1,1.4,7.0,5.4,7.1,5.7
94108,94108,1.6,1.4,3.8,14.2,2.0,3.7,2.7,1.5
94109,94109,7.1,10.3,8.1,4.0,9.9,7.5,7.7,6.0
94110,94110,11.2,8.3,12.7,3.4,5.3,5.8,9.2,12.2
94111,94111,1.2,0.6,1.6,1.5,3.3,2.2,2.1,1.0
94112,94112,6.7,2.7,5.6,1.8,2.1,2.0,4.4,6.8
94114,94114,3.5,2.5,3.3,2.8,2.8,3.4,3.9,5.2
94115,94115,3.6,1.7,3.3,4.2,7.2,4.5,4.6,3.4
94116,94116,1.6,0.7,1.0,0.7,1.3,1.2,1.6,1.9
94117,94117,2.4,4.4,2.2,1.3,4.0,3.5,3.2,5.1
94118,94118,1.5,0.9,1.2,1.4,3.9,2.8,2.5,3.5
94121,94121,1.3,0.9,1.1,0.7,3.5,1.5,2.0,2.7
94122,94122,2.4,1.9,2.2,0.9,4.0,2.8,2.7,3.2
94123,94123,1.5,0.9,1.6,1.5,4.1,4.4,2.5,2.4
94124,94124,9.5,5.4,5.8,1.2,2.1,1.9,6.4,10.8
94127,94127,0.6,0.3,0.6,0.6,0.8,1.0,0.7,1.3
94131,94131,1.3,0.5,0.7,0.5,1.6,1.3,1.5,2.8
94132,94132,1.7,0.9,1.5,6.2,1.9,2.2,2.1,1.8
94133,94133,3.3,1.3,4.0,5.6,6.9,3.6,5.1,2.6
94134,94134,4.0,1.4,3.8,0.4,1.2,1.1,3.5,4.3
94158,94158,0.4,0.2,0.1,0.0,0.3,0.5,0.4,0.2
94129,94129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94130,94130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0